Page total likes,Category,Post Month,Post Weekday,Post Hour,Paid,Lifetime Post Total Reach,Lifetime Post Total Impressions,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime People who have liked your Page and engaged with your post,comment,like,share,Total Interactions,Type_Link,Type_Photo,Type_Status,Type_Video
78,137177,2,11,1,3,0,1445,2774,217,167,211,1924,1005,154,0,56,8,64,0,1,0,0
79,137177,1,11,7,12,0,3754,8533,658,640,2085,6838,3224,598,2,29,7,38,0,1,0,0
80,137177,2,11,7,3,0,8728,17827,2295,2235,2828,15418,7344,2099,2,86,13,101,0,0,1,0
81,137177,3,11,6,10,0,5990,11123,657,361,512,5057,2628,428,18,370,53,441,0,1,0,0
82,137177,1,11,6,3,0,4582,9193,454,306,431,3691,1722,305,5,190,57,252,0,1,0,0
83,137177,3,11,5,10,1,2938,5799,321,243,379,3668,1848,236,2,101,19,122,0,1,0,0
84,137177,3,11,5,2,0,6692,13092,199,108,141,7549,3336,156,2,99,16,117,0,0,1,0
85,137177,1,11,4,9,1,2566,5244,384,280,469,3834,1806,266,10,140,8,158,0,1,0,0
86,137177,1,11,4,3,0,21176,54779,330,228,329,13858,5248,185,2,130,31,163,1,0,0,0
87,137177,3,11,3,10,0,4012,7955,550,319,477,4625,2218,403,3,270,38,311,0,1,0,0
88,137177,1,11,3,3,0,1531,2838,212,189,1359,1210,690,143,3,30,6,39,0,1,0,0
89,137059,1,11,2,11,1,2938,6056,374,283,483,4509,2078,287,2,107,17,126,0,1,0,0
90,137059,1,11,2,3,0,24720,37240,845,564,850,14475,8120,504,13,331,77,421,0,1,0,0
91,137059,2,11,1,9,0,2219,4545,287,220,329,3189,1495,221,0,78,13,91,0,1,0,0
92,137059,3,11,1,3,0,4732,9303,607,352,518,6201,3136,445,9,301,32,342,0,1,0,0
93,137059,3,11,7,9,0,2225,4239,310,216,289,2570,1389,233,2,111,16,129,0,1,0,0
94,137059,2,11,7,4,0,2626,4943,316,213,299,3047,1605,244,2,124,22,148,0,1,0,0
95,137059,3,10,6,10,0,3090,5744,391,257,360,3521,1796,293,5,153,27,185,0,1,0,0
96,137059,1,10,6,3,0,1101,2548,324,287,2418,1284,704,220,3,51,11,65,0,1,0,0
97,137059,2,10,5,11,0,2819,5230,318,218,303,3128,1622,240,1,115,26,142,0,1,0,0
98,137020,2,10,5,3,1,12468,24917,2143,1966,2576,15850,7636,1661,7,310,61,378,0,0,1,0
99,137020,1,10,4,10,0,12776,21893,785,539,881,13272,7800,575,12,328,90,430,0,1,0,0
100,137020,1,10,4,9,1,1357,2453,37,37,55,2154,1120,32,0,0,0,0,0,1,0,0
101,137020,2,10,4,3,0,68896,104952,2624,1326,1952,35707,19840,1354,26,1505,95,1626,0,1,0,0
102,137020,3,10,3,10,0,1711,3174,288,245,339,2226,1118,205,2,63,14,79,0,1,0,0
103,137020,1,10,3,4,0,1388,2544,224,219,931,2161,1214,172,0,13,4,17,0,1,0,0
104,137020,1,10,2,11,1,2645,5472,357,315,482,4485,2101,265,4,59,9,72,0,1,0,0
105,137020,1,10,2,4,0,70144,111745,3216,2628,4782,43671,20608,1542,42,955,139,1136,0,1,0,0
106,137020,3,10,1,11,0,3674,7221,452,330,487,3832,1890,328,9,181,32,222,0,1,0,0
107,136736,2,10,1,4,0,9504,19556,1132,1032,1512,16018,7616,981,17,193,28,238,0,0,1,0
108,136736,3,10,7,9,0,2426,4469,320,237,325,3120,1684,248,7,125,16,148,0,1,0,0
109,136736,2,10,7,3,0,13872,27468,2664,2570,3395,20198,10432,2252,4,217,50,271,0,0,1,0
110,136736,1,10,6,10,0,1673,3655,338,324,1619,2598,1469,268,2,28,4,34,0,1,0,0
111,136736,1,10,6,8,0,1261,2158,37,37,49,1911,1077,33,0,101,27,0,0,1,0,0
112,136736,2,10,6,4,0,2428,4510,311,238,323,2888,1560,236,4,117,18,139,0,1,0,0
113,136642,2,10,1,3,1,2227,4070,369,314,430,3227,1702,306,2,79,16,97,0,1,0,0
114,136642,1,10,7,13,0,1592,2749,370,356,414,2551,1454,327,0,15,2,17,0,1,0,0
115,136642,1,10,7,12,1,813,1568,323,319,387,1402,695,280,0,4,2,6,0,1,0,0
116,136642,1,10,7,12,0,32208,57472,1810,1490,2286,56149,31648,1724,1,431,26,458,0,1,0,0
117,136642,1,10,7,11,0,729,1374,303,298,331,1284,650,262,0,7,0,7,0,1,0,0
118,136642,1,10,7,10,0,834,1570,399,392,510,1390,704,351,0,7,2,9,0,1,0,0
119,136393,1,10,7,10,0,786,1573,263,257,318,1401,660,222,0,6,2,8,0,1,0,0
120,136393,1,10,7,9,0,584,1029,273,271,308,943,511,232,0,2,27,2,0,1,0,0
121,136393,2,10,7,9,0,15816,30514,2733,2654,3289,23584,11912,2361,6,186,40,232,0,0,1,0
122,136393,1,10,7,8,0,619,1096,257,254,292,951,516,217,1,1,2,4,0,1,0,0
123,136393,1,10,7,7,0,617,1071,229,223,265,935,521,191,1,3,2,6,0,1,0,0
124,136393,1,10,7,6,0,677,1285,251,246,297,1210,615,211,0,7,27,7,0,1,0,0
125,136393,1,10,7,5,0,677,1240,236,228,264,1098,580,196,0,7,2,9,0,1,0,0
126,136393,3,10,7,3,0,3366,6647,474,345,495,3180,1674,385,3,198,41,242,0,1,0,0
127,136393,1,10,6,13,0,747,1443,226,220,287,1252,632,194,0,9,1,10,0,1,0,0
128,136393,1,10,6,13,0,645,1117,195,192,224,989,554,166,0,4,1,5,0,1,0,0
129,136393,1,10,6,12,0,754,1510,206,205,252,1430,690,175,0,3,0,3,0,1,0,0
130,136393,1,10,6,11,0,910,1673,207,201,247,1503,782,176,0,8,2,10,0,1,0,0
131,136393,1,10,6,9,0,3906,8239,868,863,2632,7736,3768,774,0,7,3,10,0,1,0,0
132,136393,1,10,6,9,0,659,1158,199,194,239,1041,576,169,1,7,2,10,0,1,0,0
133,136393,1,10,6,8,0,652,1331,214,206,249,1249,588,182,0,11,1,12,0,1,0,0
134,136393,1,10,6,6,0,861,1565,214,192,239,1351,717,180,2,28,4,34,0,1,0,0
135,136393,1,10,6,2,0,3690,7659,424,388,644,6951,3290,377,0,56,12,68,0,1,0,0
136,136393,1,10,5,10,0,4664,9463,204,182,251,7196,3324,173,0,32,16,48,1,0,0,0
137,136013,1,10,5,8,0,1080,2427,210,189,249,2195,934,184,4,32,3,39,0,1,0,0
138,136013,2,10,5,3,0,8896,17202,1480,1426,1932,13838,7020,1292,0,129,25,154,0,0,1,0
139,136013,1,10,4,10,1,4018,8617,428,374,616,6677,2992,351,4,77,19,100,0,1,0,0
140,136013,1,10,4,3,0,68992,229733,1032,975,1345,17842,8032,635,15,143,44,202,1,0,0,0
141,136013,3,10,3,10,0,13152,25666,2543,2438,3179,20547,10280,2278,2,227,36,265,0,0,1,0
142,136013,2,10,3,2,1,31136,59964,6164,5934,9237,35977,18048,4376,60,859,90,1009,0,0,1,0
143,136013,3,10,2,10,1,16776,39549,714,440,720,11860,6200,590,10,377,60,447,0,1,0,0
144,136013,1,10,2,3,1,50736,140432,1462,1450,8308,46252,15552,1275,3,41,9,53,0,1,0,0
145,136013,1,10,1,10,1,5324,11040,528,483,861,8627,4054,448,6,76,14,96,0,1,0,0
146,136013,3,10,1,3,0,18120,44940,421,282,463,4401,2616,327,0,189,15,204,0,1,0,0
147,135713,3,10,7,10,0,2291,3960,303,243,325,3020,1723,253,0,80,14,94,0,1,0,0
148,135713,2,10,7,4,0,10744,20691,1967,1877,2201,17502,8964,1834,3,148,28,179,0,0,1,0
149,135713,1,10,6,11,1,3616,6887,111,90,118,4263,2138,93,0,24,11,35,1,0,0,0
150,135713,1,10,6,4,0,39984,112830,2105,1921,3932,70249,21328,1609,24,302,41,367,0,1,0,0
151,135713,2,10,5,11,0,4010,7444,477,370,534,4406,2362,354,2,166,32,200,0,1,0,0
152,135713,2,10,5,4,1,6564,12097,806,602,957,7682,4024,563,47,358,49,454,0,1,0,0
153,135713,1,10,4,10,0,8612,20151,813,727,1390,16890,7208,630,7,161,25,193,0,1,0,0
154,135713,2,10,4,1,0,5568,10282,746,545,867,5696,3162,537,13,319,55,387,0,1,0,0
155,135700,2,9,3,7,0,1685,2999,322,295,424,1794,953,237,0,54,16,70,0,1,0,0
156,135700,2,9,2,11,0,3756,7094,469,408,613,4935,2556,365,16,117,30,163,0,1,0,0
157,135700,3,9,2,2,0,2656,4862,390,309,445,3273,1722,309,1,115,21,137,0,1,0,0
158,135700,2,9,1,10,0,5086,9493,622,509,757,6200,3298,489,30,187,35,252,0,1,0,0
159,135617,2,9,1,3,1,2055,3915,346,288,412,2970,1507,277,1,84,13,98,0,1,0,0
160,135617,3,9,7,9,0,9384,14948,757,452,652,11148,7020,604,6,363,40,409,0,1,0,0
161,135617,2,9,7,3,0,3992,7255,598,447,688,4428,2420,435,6,244,32,282,0,1,0,0
162,135617,3,9,6,10,0,7512,13633,769,614,951,5503,3260,530,22,290,98,410,0,1,0,0
163,135617,2,9,6,4,0,11096,21080,1843,1724,2106,16095,8120,1604,4,243,41,288,0,0,1,0
164,135428,1,9,5,10,0,1060,2004,266,251,337,1705,870,204,0,18,27,18,0,1,0,0
165,135428,2,9,5,3,1,2790,4879,435,360,513,3501,1999,351,0,113,19,132,0,1,0,0
166,135428,1,9,4,10,1,13856,37716,519,450,672,26832,9064,389,2,77,5,84,0,1,0,0
167,135428,3,9,4,2,1,10748,19724,892,498,719,13674,7624,704,8,485,64,557,0,1,0,0
168,135428,1,9,3,10,0,41984,68290,3370,2420,4074,34802,20928,2126,144,1622,208,1974,0,1,0,0
169,135428,2,9,3,2,1,2522,4583,455,390,547,3031,1674,333,6,99,16,121,0,1,0,0
170,135195,3,9,2,9,0,4480,8039,572,430,599,5014,2704,416,3,188,26,217,0,1,0,0
171,135195,1,9,2,2,0,1543,2874,360,334,463,2373,1228,267,2,30,6,38,0,1,0,0
172,135195,2,9,1,10,0,21256,41906,4840,4754,5906,35455,17592,4318,38,163,27,228,0,0,1,0
173,135195,1,9,1,4,0,4484,7829,545,424,629,4208,2412,382,6,179,40,225,0,1,0,0
174,135195,2,9,7,3,0,4398,8105,584,446,669,4799,2616,431,5,204,34,243,0,1,0,0
175,135195,2,9,6,10,1,13216,24738,2675,2584,2969,19599,10232,2342,2,165,22,189,0,0,1,0
176,135195,3,9,6,3,1,22304,37159,1805,984,1618,22864,13304,1349,29,1047,98,1174,0,1,0,0
177,135195,1,9,5,11,0,6208,10830,644,473,678,6866,4016,495,2,234,40,276,0,1,0,0
178,135195,2,9,5,2,0,4518,8533,626,482,729,4215,2254,439,7,250,42,299,0,1,0,0
179,135195,2,9,4,10,0,3582,6518,537,430,597,3857,2124,404,4,154,36,194,0,1,0,0
180,134879,2,9,4,4,1,9124,17776,1476,1397,1797,13887,7092,1331,20,150,29,199,0,0,1,0
181,134879,1,9,3,10,0,14152,38806,631,549,836,19409,6632,404,4,102,8,114,0,1,0,0
182,134879,3,9,3,2,1,4260,7989,588,435,622,4578,2432,436,1,226,44,271,0,1,0,0
183,134879,1,9,2,10,0,30624,56950,2080,1956,3253,32033,15744,1376,6,345,121,472,0,0,0,1
184,134879,2,9,2,3,0,2363,4223,393,348,476,3332,1788,297,11,68,11,90,0,1,0,0
185,134879,1,9,1,10,0,2232,4005,374,335,458,3247,1740,278,0,62,10,72,0,1,0,0
186,134879,2,9,1,6,0,4048,7217,544,405,602,4046,2280,368,5,223,35,263,0,1,0,0
187,134879,2,9,7,10,0,1804,2968,330,280,352,2293,1354,234,0,61,6,67,0,1,0,0
188,134879,3,9,7,4,1,2351,4028,371,298,392,3112,1791,288,1,104,12,117,0,1,0,0
189,133679,2,9,2,10,0,3100,5388,518,422,609,3927,2274,367,3,146,15,164,0,1,0,0
190,133679,3,9,2,3,1,2360,4004,436,365,486,2757,1603,300,2,102,15,119,0,1,0,0
191,133679,3,8,1,10,0,19648,33643,1359,695,990,24034,13528,1020,9,766,43,818,0,1,0,0
192,133679,2,8,1,4,0,2295,3721,377,324,402,3121,1882,269,0,63,7,70,0,1,0,0
193,133594,2,8,7,10,1,3934,6330,512,437,599,5010,3082,384,3,113,17,133,0,1,0,0
194,133594,1,8,7,3,0,34512,76659,1666,1333,1977,54860,22816,1278,6,442,42,490,0,1,0,0
195,133594,2,8,6,10,0,5282,8730,703,530,772,5123,3244,470,9,278,43,330,0,1,0,0
196,133594,1,8,6,8,0,1809,3130,399,359,494,2541,1435,289,2,64,7,73,0,1,0,0
197,133594,2,8,5,13,0,1920,3124,365,331,428,2541,1519,251,1,52,7,60,0,1,0,0
198,133451,1,8,4,9,1,1954,3530,356,333,443,3295,1772,252,0,30,2,32,0,1,0,0
199,132817,3,8,4,10,0,33536,64850,1954,1016,1678,50076,24448,1564,33,1155,102,1290,0,1,0,0
200,132817,2,8,4,3,1,4204,7191,498,408,596,5161,2974,387,2,139,25,166,0,1,0,0
201,132817,1,8,3,9,0,3376,6557,428,409,631,5700,2806,331,0,40,5,45,0,1,0,0
202,132817,2,8,3,2,1,9236,16054,1151,1130,1560,14014,7880,1075,2,53,15,70,0,0,1,0
203,132817,3,8,2,10,0,72864,205934,946,759,1158,122474,30912,646,4,220,19,243,0,1,0,0
204,132817,3,8,2,3,0,3358,5682,394,323,523,4200,2426,298,2,114,16,132,0,1,0,0
205,132201,1,8,1,12,1,3254,5644,371,344,513,5069,2846,283,0,39,3,42,0,1,0,0
206,132201,1,8,1,3,0,50640,121234,2240,1577,2779,92348,34880,1790,4,859,68,931,0,1,0,0
207,132201,2,8,7,10,0,3734,6218,529,434,794,4831,2868,389,5,137,20,162,0,1,0,0
208,132201,3,8,7,3,0,2594,4220,347,315,529,3418,2067,248,1,54,11,66,0,1,0,0
209,132201,2,8,6,10,1,2232,3772,376,322,440,2205,1306,257,2,74,22,98,0,1,0,0
210,132201,3,8,6,3,1,22120,54734,979,906,1751,46700,17528,796,6,98,3,107,0,1,0,0
211,132201,3,8,5,10,0,7980,12978,630,398,521,9342,5372,467,2,264,21,287,0,1,0,0
212,132201,2,8,5,1,0,1659,2845,345,321,424,1604,915,239,3,36,11,50,0,1,0,0
213,132201,3,8,4,11,1,1006,1594,277,268,354,1055,651,187,1,11,3,15,0,1,0,0
214,132201,3,8,4,3,1,12728,21685,844,461,683,15779,8844,657,4,435,31,470,0,1,0,0
215,131956,1,8,3,10,0,28880,64746,1062,991,1971,40181,15808,740,2,114,10,126,0,1,0,0
216,131956,2,8,3,4,0,1330,2327,363,351,433,1475,827,230,2,17,9,28,0,1,0,0
217,131956,2,8,2,12,0,14424,26000,304,286,383,25539,14056,291,41,15,1,57,0,0,1,0
218,131956,1,8,2,7,0,14200,26728,1393,1354,3214,25610,13376,1233,3,87,10,100,0,1,0,0
219,131956,3,8,1,12,0,5746,9874,769,632,1063,7407,4288,584,16,227,28,271,0,1,0,0
220,131956,2,8,1,4,0,2540,4372,389,330,458,3655,2063,279,2,86,8,96,0,1,0,0
221,131956,3,8,7,10,0,4324,7241,548,431,676,4972,3008,401,6,179,27,212,0,1,0,0
222,131808,2,8,7,4,0,8260,14305,997,953,1211,12905,7360,956,1,74,11,86,0,0,1,0
223,131808,2,8,6,10,1,20168,35904,3370,3244,5106,26881,15056,2806,18,332,54,404,0,0,1,0
224,131808,1,8,6,6,0,5046,9084,528,477,906,7723,4184,421,2,80,21,103,0,1,0,0
225,131808,2,7,5,14,0,15296,25269,2827,2781,3627,22103,13296,2602,9,95,17,121,0,0,1,0
226,131728,3,7,5,8,1,3414,6369,473,342,525,4518,2390,360,3,188,26,217,0,1,0,0
227,131728,1,7,4,10,1,95424,252207,699,575,882,78287,22016,417,6,109,11,126,0,1,0,0
228,131728,2,7,4,3,0,14824,21863,868,591,966,13498,8560,650,64,367,25,456,0,1,0,0
229,131630,2,7,3,13,0,3504,5699,444,374,497,4487,2730,348,9,102,19,130,0,1,0,0
230,131630,3,7,2,23,0,2822,5058,424,351,486,3681,2020,327,2,113,20,135,0,1,0,0
231,131630,3,7,2,13,0,2973,5063,356,297,415,3764,2208,266,0,94,20,114,0,1,0,0
232,131630,2,7,2,6,1,10824,20573,135,126,153,20030,10384,126,6,14,1,21,0,0,1,0
233,131630,1,7,1,11,0,4592,6691,320,289,423,3238,2100,222,1,43,10,54,0,1,0,0
234,131630,2,7,1,5,0,3176,5278,372,319,577,3993,2426,279,1,98,21,120,0,1,0,0
235,131300,2,7,7,10,0,10956,19279,128,119,130,18838,10564,123,3,13,1,17,0,0,1,0
236,131300,3,7,7,4,0,10888,19744,913,783,1370,14425,8048,722,12,237,45,294,0,1,0,0
237,131300,2,7,6,10,0,3594,6316,424,354,530,4319,2468,309,4,112,23,139,0,1,0,0
238,131300,1,7,6,2,0,3384,6166,451,395,561,4708,2508,344,2,101,25,128,0,1,0,0
239,130791,2,7,5,11,1,4096,7200,487,406,723,4911,2826,355,10,145,31,186,0,1,0,0
240,130791,3,7,5,3,0,19968,35161,1016,592,909,26701,14792,757,6,535,83,624,0,1,0,0
241,130791,1,7,4,11,0,4892,8499,536,460,721,7389,4206,428,4,118,22,144,0,1,0,0
242,130791,2,7,4,6,0,17360,33613,2573,2448,6017,23338,11800,1905,9,484,79,572,0,0,1,0
243,130791,1,7,3,11,1,21872,40413,3872,3822,7327,24667,12920,2218,18,315,76,409,0,0,0,1
244,130791,2,7,3,5,1,180480,319133,8072,4010,6242,108752,51456,3316,372,5172,790,6334,0,1,0,0
245,130791,1,7,2,13,0,44464,66824,1052,930,1571,22904,14080,559,4,154,30,188,0,1,0,0
246,130791,2,7,2,8,0,2881,5188,550,503,730,3840,2040,323,0,73,15,88,0,1,0,0
247,129600,2,7,1,12,0,3460,6503,541,482,667,4371,2260,314,0,96,19,115,0,1,0,0
248,129600,3,7,1,6,0,3406,5656,571,512,731,4446,2598,355,1,98,19,118,0,1,0,0
249,129600,2,7,7,11,1,2602,4349,479,444,588,3342,1946,287,1,53,14,68,0,1,0,0
250,129600,1,7,7,6,1,5848,9068,622,570,795,6651,4212,383,4,71,10,85,0,1,0,0
251,129600,1,7,6,11,0,26944,43464,877,740,1097,20270,10208,563,6,194,34,234,0,1,0,0
252,129600,3,7,6,5,0,5292,9321,756,646,1033,5867,3404,516,6,226,42,274,0,1,0,0
253,129600,2,7,5,12,1,15576,27513,2417,2327,3098,19078,10840,1839,11,238,51,300,0,0,1,0
254,129600,3,7,5,3,0,54256,82011,1620,963,1419,42128,24224,977,10,755,58,823,0,1,0,0
255,129600,2,7,4,12,1,3726,6372,602,574,785,4760,2852,399,30,47,8,85,0,1,0,0
256,129600,1,7,4,6,1,31904,50539,863,770,1106,24010,12992,583,2,126,32,160,0,1,0,0
257,129600,1,7,3,13,1,40336,65309,1407,1330,2251,27771,14848,907,4,104,10,118,0,1,0,0
258,129600,2,7,3,1,0,4220,7774,685,597,838,4404,2326,407,10,167,26,203,0,1,0,0
259,129600,3,7,2,13,0,4666,8360,729,648,1014,5010,2818,459,9,152,41,202,0,1,0,0
260,129600,2,7,2,7,1,4274,7948,701,638,1020,5936,3164,460,0,128,15,143,0,1,0,0
261,129600,1,7,1,13,0,28208,41650,964,827,1237,18035,11120,636,13,234,43,290,0,1,0,0
262,128032,2,7,1,3,0,3330,5461,513,478,652,3675,2196,307,2,61,16,79,0,1,0,0
